physical_call_id,source_dataset,session_id,source_sha256,model_split_role,unit_id,anchor_id,anchor_time,start_time,end_time,start_frame,end_frame,local_locator,sampling_tag_only,sampling_anchor_seconds,sampling_stratum,stratum_priority,within_stratum_split_rank,selection_hash,anchor_distance_seconds,q1_score,q2_score,q1_witness_track_id,q2_witness_track_id
mf_psvr_stage_a_011,nexar_collision_prediction,nexar:01298.mp4,36e984b4d711aa829bfe2d4b0a45cd35e95a7608f2596716738ff84cea5b6afd,model_train,2,center10_anchor_0002,25.0,20.0,30.0,610,914,datasets/casq_external/nexar/videos_hf/train/negative/01298.mp4,normal_driving,,Q2_Y8_HIGH,1,3,1fe5405ce2eba3797366659624f4eddff0c69d3fd8bfa1ac354411cea6989085,,0.7575591397849463,1.0,2.0,27.0
mf_psvr_stage_a_012,nexar_collision_prediction,nexar:01176.mp4,7a1c68aa727eb87c2fdc9dd85dea1d2816adb6a572961f0b877f76002be012e5,model_train,2,center10_anchor_0002,25.0,20.0,30.0,600,899,datasets/casq_external/nexar/videos_hf/train/negative/01176.mp4,normal_driving,,Q2_Y8_HIGH,1,4,3ef2d5bc5f7c8400941e8f16c2f2c399714b39938e0b8ee6204130c9fb29028c,,0.7341909363980672,1.0,1.0,19.0
mf_psvr_stage_a_013,nexar_collision_prediction,nexar:00699.mp4,1c7ad49bd57fddf5f77c2be9f89fb66c31c6f999877a3bebc49db48a1824d1a4,model_train,2,center10_anchor_0002,25.0,20.0,30.0,600,899,datasets/casq_external/nexar/videos_hf/train/positive/00699.mp4,collision_or_near_collision,17.667,Q2_Y8_HIGH,1,5,4360c9fbaffbae0ac3fc46b05415bcbff571d995f5c0d5bf5912db2305c6978c,7.332999999999998,0.7383313564348046,1.0,1.0,13.0
mf_psvr_stage_a_014,nexar_collision_prediction,nexar:00072.mp4,6a2cc3e83b2f61ccc799ef912001efb40eb3af37edd4e450db49930c7d6e356f,model_train,3,center10_anchor_0003,35.0,30.0,40.0,915,1219,datasets/casq_external/nexar/videos_hf/train/positive/00072.mp4,collision_or_near_collision,20.068,Q2_Y8_HIGH,1,6,59ded5ba6a922eae0101d975fcf83872fa71a3e6ccdd228e7f497cc63b954a3c,14.931999999999999,0.7226844583987442,1.0,5.0,4.0
mf_psvr_stage_a_015,nexar_collision_prediction,nexar:00111.mp4,bbffdcfd3b28e20d20f07a853ce6e2b1e923f1ad5cc34cfe022eaf8ba2ff7ba5,model_train,3,center10_anchor_0003,35.0,30.0,40.0,900,1199,datasets/casq_external/nexar/videos_hf/train/positive/00111.mp4,collision_or_near_collision,18.167,Q2_Y8_HIGH,1,7,6c3826d86eccf5da35d5814777833d5823ffeb2cc593086d9d9298eac949c399,16.833,0.5201426146010186,1.0,2.0,6.0
mf_psvr_stage_a_016,nexar_collision_prediction,nexar:00751.mp4,4a45987bafcae930ae3f03a42b682e4348a991d164b16fd75b6b20195cba305c,model_train,0,center10_anchor_0000,5.0,0.0,10.0,0,299,datasets/casq_external/nexar/videos_hf/train/positive/00751.mp4,collision_or_near_collision,19.1,Q2_Y8_HIGH,1,8,a53c27c15d6afc3da5196e25f3204736a4dcc99ccac5382a3ea7c92cb106fa7f,14.100000000000001,0.7815327023329759,1.0,1.0,2.0
mf_psvr_stage_a_017,nexar_collision_prediction,nexar:00590.mp4,9fef7b0d4a144cca3326e961b96e59659c00edae63ce529b90077fd7e9ce3516,model_train,0,center10_anchor_0000,5.0,0.0,10.0,0,305,datasets/casq_external/nexar/videos_hf/train/positive/00590.mp4,collision_or_near_collision,18.622,Q2_Y8_HIGH,1,9,a76e804d0bee0336152cc6d81bcdf43868621c29d03723d99015bd888818ef3f,13.622,0.618974358974359,1.0,2.0,8.0
mf_psvr_stage_a_018,nexar_collision_prediction,nexar:00263.mp4,ff992636e6e85910e0d4f3f64688f8eaaff4ef0551daf857afd2984b47d45f1e,model_train,3,center10_anchor_0003,35.0,30.0,40.0,900,1199,datasets/casq_external/nexar/videos_hf/train/positive/00263.mp4,collision_or_near_collision,19.333,Q2_Y8_HIGH,1,10,d570c5e847bf0781daa2dd7a0778f75cc7eacc8d28e29e7924be8d64fb511481,15.667000000000002,0.6615996513021685,1.0,37.0,1.0
mf_psvr_stage_a_019,nexar_collision_prediction,nexar:01816.mp4,e6310aec60bb4af17370b96ee11e87092813899c5e1faafe26f2ea8a0f0432ea,model_train,2,center10_anchor_0002,25.0,20.0,30.0,600,899,datasets/casq_external/nexar/videos_hf/train/negative/01816.mp4,normal_driving,,Q2_Y8_HIGH,1,11,d60b2b7783b967524ab6187c22e23a142f3b7926bd3906b958230f244566f026,,0.5650310559006211,1.0,29.0,28.0
mf_psvr_stage_a_020,nexar_collision_prediction,nexar:00370.mp4,4fe0f2afdbd7bc870e6361b0dcca4a0e66d27aee6567f1013bcc4a9e599d5e18,model_train,2,center10_anchor_0002,25.0,20.0,30.0,600,899,datasets/casq_external/nexar/videos_hf/train/positive/00370.mp4,collision_or_near_collision,21.5,Q2_Y8_HIGH,1,12,d8b0d4fe3e0aab52dae19411e4b17d5cd1e4cad330454fb56c478a3eaa46ab8a,3.5,0.5213781512605042,1.0,1.0,28.0
mf_psvr_stage_a_021,nexar_collision_prediction,nexar:01270.mp4,54d275923fbf2e7fcfceb9baf4af2727a17719f04bf4bbdd1a6e78f9ec47548a,model_train,2,center10_anchor_0002,25.0,20.0,30.0,582,872,datasets/casq_external/nexar/videos_hf/train/negative/01270.mp4,normal_driving,,Q2_Y8_HIGH,1,13,e176b2b6923c3e6a9d1fe31151065c6e7c9557261fcf2400ac42b9ec4d809c7d,,0.6994708994708995,1.0,8.0,2.0
mf_psvr_stage_a_022,nexar_collision_prediction,nexar:01291.mp4,3115cad02e17336fee05c66c66b608ac4b54a391d91afade88dcb2e47ae66c77,model_train,2,center10_anchor_0002,25.0,20.0,30.0,584,875,datasets/casq_external/nexar/videos_hf/train/negative/01291.mp4,normal_driving,,Q2_Y8_HIGH,1,14,e56b781cf478ca2e4ea6bf023c1915bae206ad44fb5749118ceb14163bc60acc,,0.7283681214421253,1.0,32.0,27.0
mf_psvr_stage_a_023,nexar_collision_prediction,nexar:02130.mp4,b538f63cd23095f86416a62fe573bbd2c873111d28bc1edac2aa101785a9a95f,model_train,0,center10_anchor_0000,5.0,0.0,10.0,0,299,datasets/casq_external/nexar/videos_hf/train/negative/02130.mp4,normal_driving,,Q2_Y8_HIGH,1,15,f81ade97655f3e34971b8afb7f64f7ffd95008313bbe572f85ac4f9ce474ec41,,0.7686020607073238,1.0,16.0,27.0
mf_psvr_stage_a_024,nexar_collision_prediction,nexar:02134.mp4,33ab4cc08fe36293f173e5a7240d50c95fb6d9240c99e7f3e486a1197205d612,model_train,0,center10_anchor_0000,5.0,0.0,10.0,0,270,datasets/casq_external/nexar/videos_hf/train/negative/02134.mp4,normal_driving,,Q2_Y8_HIGH,1,16,faef10499eab8846916ab8b921cfd6b6af5647a3c49a82f0d6e17620382433f7,,0.9291316526610645,1.0,3.0,4.0
mf_psvr_stage_a_025,nexar_collision_prediction,nexar:00238.mp4,6a7b8687a0b14b0cd6a3d1605ac2eb80b68ce78309411788bc43e68cd77e6755,model_calibration,1,center10_anchor_0001,15.0,10.0,20.0,300,599,datasets/casq_external/nexar/videos_hf/train/positive/00238.mp4,collision_or_near_collision,17.5,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,1,d635822c429bfefc3ed0721e13aced2fb820b066bb3cfe41dece06363c855aa6,2.5,0.9398459289248764,0.0,1.0,
mf_psvr_stage_a_026,nexar_collision_prediction,nexar:00890.mp4,1a2661efd8cbf0ea74bd29f0225b2ac59dd2ae0671792b61df20396b16621c95,model_calibration,1,center10_anchor_0001,15.0,10.0,20.0,299,597,datasets/casq_external/nexar/videos_hf/train/positive/00890.mp4,collision_or_near_collision,16.414,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,2,be44248adf256fc67eaa359ae28242f1c04390f3edeec1d83f30c1e406d0c098,1.4140000000000015,0.9349112372221616,0.4,1.0,87.0
mf_psvr_stage_a_027,nexar_collision_prediction,nexar:00668.mp4,98a499ff6880710a91e86fd057b691a8dc50ed96f787b15b586a961cf24f726c,model_calibration,1,center10_anchor_0001,15.0,10.0,20.0,300,599,datasets/casq_external/nexar/videos_hf/train/positive/00668.mp4,collision_or_near_collision,18.233,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,3,aab46caa3ca2410139d2345f5bda3c52b569ce94dd1a923d4ea6404f5c785805,3.2330000000000005,0.928640350877193,0.0,18.0,
mf_psvr_stage_a_028,nexar_collision_prediction,nexar:00591.mp4,3da92546903ed46e9fbb5af01763a3222da65dca1f7aa1af607ad590af2dbc2a,model_calibration,1,center10_anchor_0001,15.0,10.0,20.0,295,589,datasets/casq_external/nexar/videos_hf/train/positive/00591.mp4,collision_or_near_collision,19.212,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,4,90e70100600d0335518b730eca0ab17cb7768c87d3b3b757ecb9b65afd79657b,4.212,0.8911655828623152,0.0,8.0,
mf_psvr_stage_a_029,nexar_collision_prediction,nexar:00083.mp4,c0323057b4d789bc14c18069949432e4b72799b94e5b3cb0bb67a08ff429d8fb,pool_audit,0,center10_anchor_0000,5.0,0.0,10.0,0,299,datasets/casq_external/nexar/videos_hf/train/positive/00083.mp4,collision_or_near_collision,8.398,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,1,0feeedf659cdcff3bae04594e715b1d5dc7dd9f2cd838c4dcb68c98ec2946ba9,3.3979999999999997,1.0,0.0,12.0,
mf_psvr_stage_a_030,nexar_collision_prediction,nexar:00005.mp4,e68188e582398fcf8e8b2731cb1a79fee7542246184cafb967c3d816ccc1cce1,pool_audit,2,center10_anchor_0002,25.0,20.0,30.0,612,917,datasets/casq_external/nexar/videos_hf/train/positive/00005.mp4,collision_or_near_collision,20.809,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,2,302f030d69df19ced00e7a18cde56920984c6e75b1cfeac7725813c336edfa95,4.190999999999999,0.9534793109483212,0.0,73.0,
mf_psvr_stage_a_031,nexar_collision_prediction,nexar:00841.mp4,16c7239da500f073a4a6579ad44d904ee3329aab20a8558500b6ce65456a524d,pool_audit,1,center10_anchor_0001,15.0,10.0,20.0,300,599,datasets/casq_external/nexar/videos_hf/train/positive/00841.mp4,collision_or_near_collision,16.167,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,3,a2a3e034d987e1d3441cf06c9103eaf402ceaaed4a2ae3264511c3b6d418cd7e,1.1670000000000016,0.9497668997668998,0.0,2.0,
mf_psvr_stage_a_032,nexar_collision_prediction,nexar:00132.mp4,c99990c20c24e5cd06dd3a14e337052cf67455be45f9d52c15154125747419a3,pool_audit,1,center10_anchor_0001,15.0,10.0,20.0,300,599,datasets/casq_external/nexar/videos_hf/train/positive/00132.mp4,collision_or_near_collision,19.267,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,4,e81aff86bc19f35141a0714963578ffaa3224ea46edd8e7d60999a0f58d75a73,4.2669999999999995,0.9236574746008708,0.0,52.0,
mf_psvr_stage_a_033,nexar_collision_prediction,nexar:00704.mp4,d6b2f314f3dc8e384c4acd6ec8756079e4909c5fe63d383c025b04732c7efd95,model_train,1,center10_anchor_0001,15.0,10.0,20.0,298,595,datasets/casq_external/nexar/videos_hf/train/positive/00704.mp4,collision_or_near_collision,17.456,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,1,61e6c23e49ee70623198ea28afc83ce2c0bbd8b370f9ff23d3c25fa09c7ffd24,2.4559999999999995,0.9749799704828168,0.0,1.0,
mf_psvr_stage_a_034,nexar_collision_prediction,nexar:00357.mp4,3dcb605c2bad6bc21cd0117a9f52f920e5c5b2dde379760469235939529a1bf4,model_train,1,center10_anchor_0001,15.0,10.0,20.0,306,611,datasets/casq_external/nexar/videos_hf/train/positive/00357.mp4,collision_or_near_collision,17.73,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,2,e9f78e2380f58621467528b230a64275666830f1a87f91f82ac5ef3daa155065,2.7300000000000004,0.9561396695622552,0.5539627659574468,1.0,95.0
mf_psvr_stage_a_035,nexar_collision_prediction,nexar:00614.mp4,e10f9dd5be9a3a6bf8174eb59392bffd67e16d7d9852807be503b3c283025f29,model_train,1,center10_anchor_0001,15.0,10.0,20.0,300,599,datasets/casq_external/nexar/videos_hf/train/positive/00614.mp4,collision_or_near_collision,19.3,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,3,4ea8c9f8323cf83db0973a22a1946a13573b5137033110634b99ece976663741,4.300000000000001,0.9444444444444444,0.15,3.0,5.0
mf_psvr_stage_a_036,nexar_collision_prediction,nexar:00677.mp4,6dd95d2046b1763fad9292a33db5e99785e877425634318ac05b3cbe3349fb70,model_train,1,center10_anchor_0001,15.0,10.0,20.0,300,599,datasets/casq_external/nexar/videos_hf/train/positive/00677.mp4,collision_or_near_collision,18.967,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,4,93a54d0f6a63cc5d4ebf2204478b99bbde6bd1ca13c511c37d4d1a3d427460f0,3.9669999999999987,0.928347074862286,0.1833333333333333,3.0,2.0
mf_psvr_stage_a_037,nexar_collision_prediction,nexar:00099.mp4,3cfd6a2a1b0e22400c412a5cbfb2a52efd39ddf2c7bff1ec4cbdda261fb02304,model_train,1,center10_anchor_0001,15.0,10.0,20.0,305,609,datasets/casq_external/nexar/videos_hf/train/positive/00099.mp4,collision_or_near_collision,15.959,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,5,9ad6b6ff7e7642f17ec9e5c831498f182fcb224ce2ac8d0907ffedd097aa3259,0.9589999999999996,0.9254659268743776,0.0,3.0,
mf_psvr_stage_a_038,nexar_collision_prediction,nexar:00040.mp4,763c857c1586ff0b4b721c3973e65d4f0c5d7dda56f8180d6ca06e5f1badc9d0,model_train,1,center10_anchor_0001,15.0,10.0,20.0,300,599,datasets/casq_external/nexar/videos_hf/train/positive/00040.mp4,collision_or_near_collision,17.4,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,6,9a2e570bee0f93c592677e2564eb34f92e1f295535811fa854cbba898806428e,2.3999999999999986,0.9233333333333336,0.8484848484848484,1.0,13.0
mf_psvr_stage_a_039,nexar_collision_prediction,nexar:00506.mp4,d4940224a487567c9e055ad625b317f7ae8c0f23714d01bb8175bd03d9ada58d,model_train,1,center10_anchor_0001,15.0,10.0,20.0,306,611,datasets/casq_external/nexar/videos_hf/train/positive/00506.mp4,collision_or_near_collision,17.97,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,7,05be1d247922675bd5479b6c482eeb9fa420da08c90f2438ed1a517e5c9c2455,2.969999999999999,0.9233333333333336,0.0,45.0,
mf_psvr_stage_a_040,nexar_collision_prediction,nexar:00440.mp4,5ebcc3d1076528216d4c90605973c4dd2b45fc1090143478069f1e06d1b9f899,model_train,1,center10_anchor_0001,15.0,10.0,20.0,300,599,datasets/casq_external/nexar/videos_hf/train/positive/00440.mp4,collision_or_near_collision,17.567,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,8,1faa8bf9744dc0503da85bcad014d785550a0dee4eb5013262b6d272608a0ed2,2.567,0.9124585218702864,0.6311930783242259,11.0,22.0
mf_psvr_stage_a_041,nexar_collision_prediction,nexar:00961.mp4,b935fbd88b3d347a4b552ec4cb297db8e77c740a33bbd1179e3eb74eb4f23f49,model_train,1,center10_anchor_0001,15.0,10.0,20.0,300,599,datasets/casq_external/nexar/videos_hf/train/positive/00961.mp4,collision_or_near_collision,18.533,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,9,65d8fd058803de16bfb6aa043e7fc11a873ced953b1f1c7c30612cd11950ecd6,3.5330000000000013,0.9084943567383906,0.0,28.0,
mf_psvr_stage_a_042,nexar_collision_prediction,nexar:00822.mp4,c79d4f8a8045e012905952c9b1cb79615db1300fa1799339f88bbb5f69636243,model_train,1,center10_anchor_0001,15.0,10.0,20.0,300,599,datasets/casq_external/nexar/videos_hf/train/positive/00822.mp4,collision_or_near_collision,18.633,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,10,e7d4d5a424994d92be4b31fbae1c0cefef5f3805bec6a4087429cc56ea0b4564,3.632999999999999,0.907199032062916,0.0,1.0,
mf_psvr_stage_a_043,nexar_collision_prediction,nexar:00148.mp4,65a0bdc962003acecb3139571028929f03e0825700f599f4921f8688aa89472e,model_train,1,center10_anchor_0001,15.0,10.0,20.0,300,599,datasets/casq_external/nexar/videos_hf/train/positive/00148.mp4,collision_or_near_collision,17.3,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,11,2a711d34e1df816bed94ac61d7023d8d676dba9471222c963741d6151f327627,2.3000000000000007,0.9048811992249906,0.0333333333333333,4.0,11.0
mf_psvr_stage_a_044,nexar_collision_prediction,nexar:00145.mp4,618f476e439e802160bd5ed375b825d85cc19e56e4861f66d7dec7974554b294,model_train,1,center10_anchor_0001,15.0,10.0,20.0,300,599,datasets/casq_external/nexar/videos_hf/train/positive/00145.mp4,collision_or_near_collision,15.233,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,12,18758ddac2253653ce2a7e52150d610621b37728dfdccf7eeff099f59af396f0,0.23300000000000054,0.9023754789272032,0.0,6.0,
mf_psvr_stage_a_045,nexar_collision_prediction,nexar:00245.mp4,5c8e796f6d285c077f6151c3c95f72cf9281a785901cb0ea2a0d093314de782d,model_train,1,center10_anchor_0001,15.0,10.0,20.0,300,599,datasets/casq_external/nexar/videos_hf/train/positive/00245.mp4,collision_or_near_collision,19.067,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,13,7701ff4ff66cc7e1aaf4b72d932cb96db9e992452c27bd6a629bf81887a53d79,4.067,0.8983179201034034,0.0,3.0,
mf_psvr_stage_a_046,nexar_collision_prediction,nexar:01022.mp4,1ad19fcb0bd8306c72a05b2726eaad18277e171aa817dab74d2ad23d702341d0,model_train,1,center10_anchor_0001,15.0,10.0,20.0,300,599,datasets/casq_external/nexar/videos_hf/train/positive/01022.mp4,collision_or_near_collision,16.5,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,14,4ea67e6c1348cb5cd197ab0a8598e8690b661334c8fff93f576a06fa1bea446d,1.5,0.8952380952380953,0.0,1.0,
mf_psvr_stage_a_047,nexar_collision_prediction,nexar:00333.mp4,952fa4c113f1b95c7f60048f42da08987cf485941b2d3eec8392928eb8d40886,model_train,1,center10_anchor_0001,15.0,10.0,20.0,300,599,datasets/casq_external/nexar/videos_hf/train/positive/00333.mp4,collision_or_near_collision,17.0,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,15,45dc2e6716ca617703ec92b6269892b2de05d6e55d69ec6e46fa7f137e76c1ad,2.0,0.8874256390675219,0.5583333333333333,4.0,102.0
mf_psvr_stage_a_048,nexar_collision_prediction,nexar:00202.mp4,b7abdb5a6d0fd2a0931fb84d622775f0521d52921a912e8ffe66a10a0ec15d82,model_train,1,center10_anchor_0001,15.0,10.0,20.0,300,599,datasets/casq_external/nexar/videos_hf/train/positive/00202.mp4,collision_or_near_collision,18.167,Q1_WEAK_COLLISION_NEAR_ANCHOR,2,16,c267c0bb136468318ca6dc9700ccc8230e46baf7866e3171043f34d440f9e174,3.1670000000000016,0.8848246361245881,0.4875,4.0,80.0
mf_psvr_stage_a_049,nexar_collision_prediction,nexar:00164.mp4,17979f9be84c280138659288fc5c73d64bc692030aa144764bd2e093fe810055,model_calibration,0,center10_anchor_0000,5.0,0.0,10.0,0,299,datasets/casq_external/nexar/videos_hf/train/positive/00164.mp4,collision_or_near_collision,9.093,LOW_SCORE_WEAK_COLLISION_NEAR_ANCHOR,3,1,478bc874645452a24bd81266abc06f8e1b1dfb0a0f99bd49e51e2b784bdcdea3,4.093,0.0,0.0,,
mf_psvr_stage_a_050,nexar_collision_prediction,nexar:00938.mp4,e0c0b6100206e921ec3248f6301a0eb74470c5881285f3540d824b05d9005926,model_calibration,1,center10_anchor_0001,15.0,10.0,18.0,300,539,datasets/casq_external/nexar/videos_hf/train/positive/00938.mp4,collision_or_near_collision,10.226,LOW_SCORE_WEAK_COLLISION_NEAR_ANCHOR,3,2,6e74f742cd54515a79e065a15a8e852afab544c33f102f0f124a13a1f3b052eb,4.773999999999999,0.4466666666666666,0.0,4.0,
mf_psvr_stage_a_051,nexar_collision_prediction,nexar:00705.mp4,b37fa14a26f7beff411f31f46ed2270e3563f5b47f6e43fbee84f071e5f01d91,model_calibration,1,center10_anchor_0001,15.0,10.0,20.0,306,611,datasets/casq_external/nexar/videos_hf/train/positive/00705.mp4,collision_or_near_collision,19.867,LOW_SCORE_WEAK_COLLISION_NEAR_ANCHOR,3,3,c72dff2d5a5df04d3e6c55afecdc87500e3b588a0a507572374940160dd60ee6,4.867000000000001,0.5361253196930946,0.0,42.0,
mf_psvr_stage_a_052,nexar_collision_prediction,nexar:00100.mp4,282dbf9857a5a0b43998452790515eec7159b15990bf23803e2937baec0e029b,pool_audit,1,center10_anchor_0001,15.0,10.0,20.0,300,599,datasets/casq_external/nexar/videos_hf/train/positive/00100.mp4,collision_or_near_collision,17.233,LOW_SCORE_WEAK_COLLISION_NEAR_ANCHOR,3,1,3846095185bfc66d5ae01c2667fae3982549326dcd4e8403904abb47fe61a737,2.2330000000000005,0.0,0.0,,
mf_psvr_stage_a_053,nexar_collision_prediction,nexar:00461.mp4,54f0d7dcc74440c838dd821f4c42b7013a1dfd74d4f48b5ee9c74f4ced43a9bc,pool_audit,0,center10_anchor_0000,5.0,0.0,10.0,0,299,datasets/casq_external/nexar/videos_hf/train/positive/00461.mp4,collision_or_near_collision,8.0,LOW_SCORE_WEAK_COLLISION_NEAR_ANCHOR,3,2,08425176d03b7fd579f9f75d3ae758a5c1c3f34c7b1e54de01a959b58a33ee38,3.0,0.0,0.0,,
mf_psvr_stage_a_054,nexar_collision_prediction,nexar:00066.mp4,0046213aa73f5bb6d55511f43723f6efe00a0d014a235707a5fec193b9b2ab2b,pool_audit,2,center10_anchor_0002,25.0,20.0,30.0,598,896,datasets/casq_external/nexar/videos_hf/train/positive/00066.mp4,collision_or_near_collision,20.787,LOW_SCORE_WEAK_COLLISION_NEAR_ANCHOR,3,3,ce70bf194a7014c542564d65490448622b9122f75d8a4acfa435670553931372,4.213000000000001,0.0,0.0,,
