bin_idx,local_t_start,local_t_end,label,is_positive,event_id,prior_score_max,prior_score_mean,t_start,t_end
44,440.0,450.0,negative,False,,0.921359,0.8929975,440.0,450.0
45,450.0,460.0,negative,False,,0.921359,0.8498950000000001,450.0,460.0
46,460.0,470.0,negative,False,,0.877941,0.828186,460.0,470.0
47,470.0,480.0,negative,False,,0.831933,0.831933,470.0,480.0
48,480.0,490.0,negative,False,,0.754482,0.7129205000000001,480.0,490.0
49,490.0,500.0,negative,False,,0.671359,0.6684525,490.0,500.0
50,500.0,510.0,positive,True,realcartest_event_0004,1.0,0.832773,500.0,510.0
51,510.0,520.0,negative,False,,1.0,1.0,510.0,520.0
52,520.0,530.0,negative,False,,0.956513,0.937605,520.0,530.0
53,530.0,540.0,positive,True,realcartest_event_0005,0.929342,0.9240195,530.0,540.0
54,540.0,550.0,negative,False,,0.915546,0.915546,540.0,550.0
55,550.0,560.0,positive,True,realcartest_event_0006,0.846359,0.7200985,550.0,560.0
56,560.0,570.0,positive,True,realcartest_event_0006,0.738585,0.6662115,560.0,570.0
57,570.0,580.0,positive,True,realcartest_event_0006,0.738585,0.690091,570.0,580.0
58,580.0,590.0,positive,True,realcartest_event_0006,0.942017,0.942017,580.0,590.0
59,590.0,600.0,negative,False,,0.92381,0.7900125,590.0,600.0
60,600.0,610.0,negative,False,,0.656215,0.4485785,600.0,610.0
61,610.0,620.0,negative,False,,0.432826,0.33688399999999996,610.0,620.0
62,620.0,630.0,negative,False,,0.804622,0.804622,620.0,630.0
63,630.0,640.0,negative,False,,0.817157,0.710189,630.0,640.0
64,640.0,650.0,negative,False,,0.603221,0.542787,640.0,650.0
65,650.0,660.0,negative,False,,0.517647,0.517647,650.0,660.0
66,660.0,670.0,negative,False,,0.543908,0.504937,660.0,670.0
67,670.0,680.0,negative,False,,0.543908,0.489811,670.0,680.0
68,680.0,690.0,negative,False,,0.463375,0.4495445,680.0,690.0
69,690.0,700.0,negative,False,,1.0,1.0,690.0,700.0
70,700.0,710.0,positive,True,realcartest_event_0007,0.955252,0.847549,700.0,710.0
71,710.0,720.0,negative,False,,0.739846,0.6690125,710.0,720.0
72,720.0,730.0,negative,False,,0.630252,0.6142155,720.0,730.0
73,730.0,740.0,positive,True,realcartest_event_0008,0.926821,0.926821,730.0,740.0
74,740.0,750.0,positive,True,realcartest_event_0008,1.0,0.8487745,740.0,750.0
75,750.0,760.0,negative,False,,0.972619,0.8350839999999999,750.0,760.0
76,760.0,770.0,positive,True,realcartest_event_0009,0.910504,0.910504,760.0,770.0
77,770.0,780.0,negative,False,,0.765616,0.625169,770.0,780.0
78,780.0,790.0,negative,False,,0.520028,0.502375,780.0,790.0
79,790.0,800.0,negative,False,,1.0,0.760014,790.0,800.0
80,800.0,810.0,negative,False,,1.0,1.0,800.0,810.0
81,810.0,820.0,negative,False,,0.630252,0.5918415,810.0,820.0
82,820.0,830.0,negative,False,,0.82612,0.6897755,820.0,830.0
83,830.0,840.0,negative,False,,1.0,0.91306,830.0,840.0
84,840.0,850.0,positive,True,realcartest_event_0010,1.0,1.0,840.0,850.0
85,850.0,860.0,positive,True,realcartest_event_0010,0.574576,0.5262235,850.0,860.0
86,860.0,870.0,negative,False,,0.477871,0.33777999999999997,860.0,870.0
87,870.0,880.0,negative,False,,0.472059,0.334874,870.0,880.0
88,880.0,890.0,negative,False,,0.464566,0.40101549999999997,880.0,890.0
89,890.0,900.0,negative,False,,0.814076,0.639321,890.0,900.0
90,900.0,910.0,negative,False,,0.814076,0.6261555,900.0,910.0
91,910.0,920.0,negative,False,,0.582866,0.582866,910.0,920.0
92,920.0,930.0,positive,True,realcartest_event_0011,0.607003,0.584928,920.0,930.0
93,930.0,940.0,negative,False,,0.607003,0.5739495,930.0,940.0
94,940.0,950.0,negative,False,,0.65049,0.595693,940.0,950.0
95,950.0,960.0,negative,False,,0.622759,0.622759,950.0,960.0
96,960.0,970.0,negative,False,,0.829902,0.726568,960.0,970.0
97,970.0,980.0,negative,False,,0.715896,0.669565,970.0,980.0
98,980.0,990.0,positive,True,realcartest_event_0012,0.76928,0.742588,980.0,990.0
99,990.0,1000.0,negative,False,,1.0,0.7682205,990.0,1000.0
100,1000.0,1010.0,negative,False,,1.0,0.7682205,1000.0,1010.0
101,1010.0,1020.0,positive,True,realcartest_event_0013,1.0,0.88722,1010.0,1020.0
102,1020.0,1030.0,negative,False,,0.931232,0.931232,1020.0,1030.0
103,1030.0,1040.0,negative,False,,0.983543,0.8812325,1030.0,1040.0
104,1040.0,1050.0,negative,False,,0.95084,0.864881,1040.0,1050.0
105,1050.0,1060.0,positive,True,realcartest_event_0014,0.95084,0.927556,1050.0,1060.0
106,1060.0,1070.0,positive,True,realcartest_event_0014,0.988025,0.988025,1060.0,1070.0
107,1070.0,1080.0,positive,True,realcartest_event_0014,1.0,1.0,1070.0,1080.0
108,1080.0,1090.0,positive,True,realcartest_event_0014,1.0,1.0,1080.0,1090.0
109,1090.0,1100.0,negative,False,,1.0,0.8482145,1090.0,1100.0
110,1100.0,1110.0,negative,False,,1.0,1.0,1100.0,1110.0
111,1110.0,1120.0,positive,True,realcartest_event_0015,1.0,1.0,1110.0,1120.0
112,1120.0,1130.0,positive,True,realcartest_event_0015,1.0,1.0,1120.0,1130.0
113,1130.0,1140.0,positive,True,realcartest_event_0015,1.0,1.0,1130.0,1140.0
114,1140.0,1150.0,positive,True,realcartest_event_0015,1.0,1.0,1140.0,1150.0
115,1150.0,1160.0,positive,True,realcartest_event_0015,1.0,1.0,1150.0,1160.0
116,1160.0,1170.0,negative,False,,1.0,1.0,1160.0,1170.0
117,1170.0,1180.0,positive,True,realcartest_event_0016,1.0,1.0,1170.0,1180.0
118,1180.0,1190.0,positive,True,realcartest_event_0016,1.0,1.0,1180.0,1190.0
119,1190.0,1200.0,positive,True,realcartest_event_0016,1.0,1.0,1190.0,1200.0
120,1200.0,1210.0,negative,False,,1.0,1.0,1200.0,1210.0
121,1210.0,1220.0,positive,True,realcartest_event_0017,1.0,1.0,1210.0,1220.0
122,1220.0,1230.0,positive,True,realcartest_event_0017,1.0,1.0,1220.0,1230.0
123,1230.0,1240.0,negative,False,,1.0,1.0,1230.0,1240.0
124,1240.0,1250.0,negative,False,,0.838585,0.838585,1240.0,1250.0
125,1250.0,1260.0,positive,True,realcartest_event_0018,1.0,1.0,1250.0,1260.0
126,1260.0,1270.0,negative,False,,1.0,0.767262,1260.0,1270.0
127,1270.0,1280.0,negative,False,,0.534524,0.502766,1270.0,1280.0
128,1280.0,1290.0,negative,False,,0.55084,0.55084,1280.0,1290.0
129,1290.0,1300.0,negative,False,,0.485897,0.44694,1290.0,1300.0
130,1300.0,1310.0,negative,False,,0.407983,0.304154,1300.0,1310.0
131,1310.0,1320.0,negative,False,,0.307283,0.253804,1310.0,1320.0
132,1320.0,1330.0,negative,False,,0.353846,0.338293,1320.0,1330.0
133,1330.0,1340.0,negative,False,,0.372759,0.3633025,1330.0,1340.0
134,1340.0,1350.0,negative,False,,0.412716,0.3927375,1340.0,1350.0
135,1350.0,1360.0,negative,False,,0.434454,0.434454,1350.0,1360.0
136,1360.0,1370.0,negative,False,,0.358333,0.325106,1360.0,1370.0
137,1370.0,1380.0,negative,False,,0.635854,0.4970935,1370.0,1380.0
138,1380.0,1390.0,negative,False,,0.635854,0.4141555,1380.0,1390.0
139,1390.0,1400.0,negative,False,,0.212987,0.212987,1390.0,1400.0
140,1400.0,1410.0,negative,False,,0.39359,0.317409,1400.0,1410.0
141,1410.0,1420.0,negative,False,,0.617087,0.5053385,1410.0,1420.0
142,1420.0,1430.0,negative,False,,0.617087,0.510733,1420.0,1430.0
143,1430.0,1440.0,negative,False,,0.354167,0.354167,1430.0,1440.0
144,1440.0,1450.0,negative,False,,1.0,1.0,1440.0,1450.0
145,1450.0,1460.0,negative,False,,1.0,0.9011905,1450.0,1460.0
146,1460.0,1470.0,negative,False,,0.858333,0.858333,1460.0,1470.0
147,1470.0,1480.0,negative,False,,0.972969,0.9244745,1470.0,1480.0
148,1480.0,1490.0,negative,False,,0.87598,0.8643205,1480.0,1490.0
149,1490.0,1500.0,negative,False,,0.861555,0.857108,1490.0,1500.0
150,1500.0,1510.0,positive,True,realcartest_event_0019,0.84951,0.84951,1500.0,1510.0
151,1510.0,1520.0,negative,False,,0.916246,0.8573525,1510.0,1520.0
152,1520.0,1530.0,negative,False,,0.798459,0.6908255000000001,1520.0,1530.0
153,1530.0,1540.0,negative,False,,0.636555,0.6098735,1530.0,1540.0
154,1540.0,1550.0,negative,False,,0.378205,0.378205,1540.0,1550.0
155,1550.0,1560.0,negative,False,,1.0,0.9731445000000001,1550.0,1560.0
156,1560.0,1570.0,negative,False,,0.972269,0.959279,1560.0,1570.0
