previous_state,new_state,timestamp,input_hashes,output_hashes,pass,reason,recovery_command
BCM_IMPLEMENTATION,BCM_IMPLEMENTATION,2026-07-11T02:09:56Z,"{""mathematical_reference"":""c058bf83b1fd1fbe096b38c6f4a62f827bcc8c3fc4c23c3c1536a65b21b78208""}","{""bcm_runner"":""9f97f9b5529dcc46231b7db7c4ecb88377274a560be693a073103509965e0a15""}",true,Implementation-entry hash correction: binds the actual BCM_AQP_MATHEMATICAL_REFERENCE.md bytes. The previous event accidentally recorded the ultimate-goal attachment hash as the reference hash; implementation evidence is unchanged.,python3 -m py_compile Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/bcm_aqp_experiment_v2/scripts/run_bcm_aqp_v2.py
BCM_IMPLEMENTATION,BCM_SYNTHETIC_TESTS,2026-07-11T02:10:04Z,"{""bcm_runner"":""9f97f9b5529dcc46231b7db7c4ecb88377274a560be693a073103509965e0a15""}","{""synthetic_tests"":""a2409a17fd5cc6df63224420fc85742d57454e1f7e6db999e14f4313fd44de77""}",true,"All 15 synthetic correctness and falsification tests passed, including materializer equivalence, destructive positive bridge, negative barrier, leakage sentinel, abstain fail-closed, deterministic tie, cap, and matcher cases.",python3 Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/bcm_aqp_experiment_v2/scripts/run_bcm_aqp_v2.py --stage synthetic
BCM_SYNTHETIC_TESTS,BCM_CEILINGS,2026-07-11T02:10:27Z,"{""strict_reference"":""dae29fff60c176ed346d843fb53d9af27aed3cca308de589ab71804402c48da4""}","{""bcm_ceilings"":""d4bdbda299e170cdd301e5281005817010fb233a43b8b924e35c35b816f34a52""}",true,"Evaluator-only ceilings complete: public candidate evidence-certified recall 1.0, oracle-informed recall reaches 1.0 by budget 50, and both frozen materializers reach full-oracle pseudo-event recall 1.0 with event-F1 0.962963.",python3 Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/bcm_aqp_experiment_v2/scripts/run_bcm_aqp_v2.py --stage ceilings
BCM_CEILINGS,BCM_CONFIG_FREEZE,2026-07-11T02:10:58Z,"{""ceilings"":""d4bdbda299e170cdd301e5281005817010fb233a43b8b924e35c35b816f34a52"",""synthetic_tests"":""a2409a17fd5cc6df63224420fc85742d57454e1f7e6db999e14f4313fd44de77""}","{""config"":""7eb42d2dcbe12a5df7752b3c8c7e4f181376cdf357b79700525be0b85699fc93"",""config_freeze"":""368be5c829c49edef3c55e1f7b203b42cfe8d0706c747fa1b0b652d0aa739741""}",true,"Preregistered no-training BCM configuration frozen after synthetic and ceiling gates: weights 0.45/0.20/0/0.35, M1 materializer, binary likelihood defaults, epsilon_stop=0, fixed seed; no test-reference selection.",python3 Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/bcm_aqp_experiment_v2/scripts/run_bcm_aqp_v2.py --stage config
BCM_CONFIG_FREEZE,BCM_CANONICAL_RUNS,2026-07-11T02:20:20Z,"{""config"":""7eb42d2dcbe12a5df7752b3c8c7e4f181376cdf357b79700525be0b85699fc93""}","{""run_registry"":""d0f9f0c40b0e56b000231e630770f746fe8f49dd82bf95988698f607ac1639ab""}",true,"Completed exact six-budget canonical BCM run via frozen OracleAccessor with 265 logical cache calls, zero duplicate queries, zero physical VLM calls, and checkpointed terminal manifests.",python3 Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/bcm_aqp_experiment_v2/scripts/run_bcm_aqp_v2.py --stage run
BCM_CANONICAL_RUNS,BCM_ABLATIONS,2026-07-11T02:20:28Z,"{""run_registry"":""d0f9f0c40b0e56b000231e630770f746fe8f49dd82bf95988698f607ac1639ab""}","{""materializer_and_ablation_matrix"":""fa06c8f06b3404bfc09d80710e6fcb5a9e7977f355562bc884e380eaecccbbd2""}",true,"Completed no-partition, no-residual, and existence-only preregistered ablations. All produced identical M1 curves to canonical, negative evidence that current structural-risk terms affect query allocation.",python3 Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/bcm_aqp_experiment_v2/scripts/run_bcm_aqp_v2.py --stage run
BCM_ABLATIONS,BCM_MATERIALIZER_MATRIX,2026-07-11T02:20:35Z,"{""canonical_and_ablation_traces"":""d0f9f0c40b0e56b000231e630770f746fe8f49dd82bf95988698f607ac1639ab""}","{""materializer_matrix"":""fa06c8f06b3404bfc09d80710e6fcb5a9e7977f355562bc884e380eaecccbbd2""}",true,Same canonical traces replayed under frozen M0 original_k3 and M1 k3_bridge_safe. M1 improves F1 at budgets 50/80/100 by preventing unverified bridge merges; no additional oracle calls.,python3 Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/bcm_aqp_experiment_v2/scripts/run_bcm_aqp_v2.py --stage run
BCM_MATERIALIZER_MATRIX,BCM_ANALYSIS,2026-07-11T02:23:27Z,"{""materializer_matrix"":""fa06c8f06b3404bfc09d80710e6fcb5a9e7977f355562bc884e380eaecccbbd2"",""run_registry"":""d0f9f0c40b0e56b000231e630770f746fe8f49dd82bf95988698f607ac1639ab""}","{""final_decision"":""a7ca65eb28ba8cd5b7139057846226bdabf0b5196b31d243eded44f5da3fd7a2"",""final_report"":""d0dacade08e7fabb30dbf8b05f452d11e123bb1fb8cf318138f133e59b8238a7"",""research_state"":""c0e113762fe4d6ed8be3e56b8a58d9a74d5803515661cb959e8d6b8bfd3bb32d""}",true,"Formal BCM v2 analysis complete with NO-GO: AUC 0.294270, delta -0.095389 vs best frozen baseline. Mechanism audit found 141 hypotheses, 100/100 DISCOVER_CORE actions, zero structure/audit activation, outcome-equivalent ablations, and weak score/realized-utility correlation.",python3 Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/bcm_aqp_experiment_v2/scripts/run_bcm_aqp_v2.py --stage analyze
BCM_ANALYSIS,BCM_FINAL_AUDIT,2026-07-11T02:31:44Z,"{""final_decision"":""a7ca65eb28ba8cd5b7139057846226bdabf0b5196b31d243eded44f5da3fd7a2"",""independent_review"":""b111e9ebdffbd75ebe190dbdbd5d506e364411f51f003c9c3360730eb814c79a""}","{""completion_audit"":""6f22f211a34d1d8d42bc6828aa8a638927f2346913b4b0cf1dbdc5aa1d57a7f2"",""experiment_manifest"":""6a351738238d691dde9d8eac4a6ba2146e492bdd3a6d234e493ca732eaf10458"",""file_manifest"":""3c48732fc799d057c4d5c0bb73bdb7bf165ebcfca654bfd7713d885c2116ce00""}",true,"Independent BCM adversarial review PASS with zero blocking/high findings after correcting the stale-progress-log seal defect. Final two-pass seal verifies 105/105 rows, manifest bindings, final completion-audit binding, all metrics, 24 runs, 1060 logical and zero physical calls.",python3 Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/bcm_aqp_experiment_v2/scripts/run_bcm_aqp_v2.py --stage finalize
BCM_FINAL_AUDIT,GOAL_COMPLETED,2026-07-11T02:31:57Z,"{""bcm_experiment_manifest"":""6a351738238d691dde9d8eac4a6ba2146e492bdd3a6d234e493ca732eaf10458"",""strict_frozen_commit"":""6f41abcfab7a9bdcf9140306acf74081a20d647f482e4fa03a236468e4dcc1da""}","{""final_decision"":""a7ca65eb28ba8cd5b7139057846226bdabf0b5196b31d243eded44f5da3fd7a2"",""research_state"":""c0e113762fe4d6ed8be3e56b8a58d9a74d5803515661cb959e8d6b8bfd3bb32d""}",true,"AEH-AQP autorun completed end-to-end. Strict benchmark frozen ready for BCM; formal BCM v2 package complete and independently audited. Scientific terminal decision is NO-GO for the current BCM candidate due AUC deficit and zero mechanism activation, with a development-only revision path recorded.",python3 Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/aeh_aqp_autorun_v1/scripts/goal_state.py verify
