run_id,method,family,task_id,deadline_name,replicate,action,checkpoint_index,confirmed_events,elapsed_seconds,frontier_candidates,frontier_temporal_entropy,frontier_unique_temporal_cells,observed_units,physical_oracle_calls,snapshot_path,temporal_coverage,event_precision,event_recall,event_f1,unique_confirmed_events
C00__Y8__V0_Q1__T_high__r02__attempt_001,C00,Y8,V0_Q1,T_high,2,initial_commit,0,0,0.024506033,0,0.0,0,0,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q1__T_high__replicate_02/attempt_001/checkpoint_000_snapshot.json,0.0,0.0,0.0,0.0,0
C00__Y8__V0_Q1__T_high__r02__attempt_001,C00,Y8,V0_Q1,T_high,2,scan,1,0,0.926883731,1,0.0,1,1,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q1__T_high__replicate_02/attempt_001/checkpoint_001_snapshot.json,0.002886002886002886,0.0,0.0,0.0,0
C00__Y8__V0_Q1__T_high__r02__attempt_001,C00,Y8,V0_Q1,T_high,2,scan,2,0,1.796079775,2,1.0,2,2,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q1__T_high__replicate_02/attempt_001/checkpoint_002_snapshot.json,0.005772005772005772,0.0,0.0,0.0,0
C00__Y8__V0_Q1__T_high__r02__attempt_001,C00,Y8,V0_Q1,T_high,2,scan,3,0,2.675838711,3,0.9999999999999998,3,3,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q1__T_high__replicate_02/attempt_001/checkpoint_003_snapshot.json,0.008658008658008658,0.0,0.0,0.0,0
C00__Y8__V0_Q1__T_high__r02__attempt_001,C00,Y8,V0_Q1,T_high,2,query,4,1,19.572518082,2,1.0,2,3,1,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q1__T_high__replicate_02/attempt_001/checkpoint_004_snapshot.json,0.008658008658008658,1.0,0.07142857142857142,0.13333333333333333,1
C00__Y8__V0_Q1__T_transition__r00__attempt_001,C00,Y8,V0_Q1,T_transition,0,initial_commit,0,0,0.062150116,0,0.0,0,0,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q1__T_transition__replicate_00/attempt_001/checkpoint_000_snapshot.json,0.0,0.0,0.0,0.0,0
C00__Y8__V0_Q1__T_transition__r00__attempt_001,C00,Y8,V0_Q1,T_transition,0,scan,1,0,4.907423784,1,0.0,1,1,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q1__T_transition__replicate_00/attempt_001/checkpoint_001_snapshot.json,0.002886002886002886,0.0,0.0,0.0,0
C00__Y8__V0_Q1__T_transition__r00__attempt_001,C00,Y8,V0_Q1,T_transition,0,scan,2,0,5.923753313,2,1.0,2,2,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q1__T_transition__replicate_00/attempt_001/checkpoint_002_snapshot.json,0.005772005772005772,0.0,0.0,0.0,0
C00__Y8__V0_Q1__T_transition__r00__attempt_001,C00,Y8,V0_Q1,T_transition,0,scan,3,0,6.923298668,3,0.9999999999999998,3,3,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q1__T_transition__replicate_00/attempt_001/checkpoint_003_snapshot.json,0.008658008658008658,0.0,0.0,0.0,0
C00__Y8__V0_Q1__T_transition__r00__attempt_001,C00,Y8,V0_Q1,T_transition,0,query,4,1,28.320662644,2,1.0,2,3,1,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q1__T_transition__replicate_00/attempt_001/checkpoint_004_snapshot.json,0.008658008658008658,1.0,0.07142857142857142,0.13333333333333333,1
C00__Y8__V0_Q1__T_transition__r01__attempt_001,C00,Y8,V0_Q1,T_transition,1,initial_commit,0,0,0.044792136,0,0.0,0,0,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q1__T_transition__replicate_01/attempt_001/checkpoint_000_snapshot.json,0.0,0.0,0.0,0.0,0
C00__Y8__V0_Q1__T_transition__r01__attempt_001,C00,Y8,V0_Q1,T_transition,1,scan,1,0,2.306762537,1,0.0,1,1,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q1__T_transition__replicate_01/attempt_001/checkpoint_001_snapshot.json,0.002886002886002886,0.0,0.0,0.0,0
C00__Y8__V0_Q1__T_transition__r01__attempt_001,C00,Y8,V0_Q1,T_transition,1,scan,2,0,3.220554658,2,1.0,2,2,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q1__T_transition__replicate_01/attempt_001/checkpoint_002_snapshot.json,0.005772005772005772,0.0,0.0,0.0,0
C00__Y8__V0_Q1__T_transition__r01__attempt_001,C00,Y8,V0_Q1,T_transition,1,scan,3,0,4.293028558,3,0.9999999999999998,3,3,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q1__T_transition__replicate_01/attempt_001/checkpoint_003_snapshot.json,0.008658008658008658,0.0,0.0,0.0,0
C00__Y8__V0_Q1__T_transition__r01__attempt_001,C00,Y8,V0_Q1,T_transition,1,query,4,1,24.128103873,2,1.0,2,3,1,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q1__T_transition__replicate_01/attempt_001/checkpoint_004_snapshot.json,0.008658008658008658,1.0,0.07142857142857142,0.13333333333333333,1
C00__Y8__V0_Q1__T_transition__r02__attempt_001,C00,Y8,V0_Q1,T_transition,2,initial_commit,0,0,0.02469721,0,0.0,0,0,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q1__T_transition__replicate_02/attempt_001/checkpoint_000_snapshot.json,0.0,0.0,0.0,0.0,0
C00__Y8__V0_Q1__T_transition__r02__attempt_001,C00,Y8,V0_Q1,T_transition,2,scan,1,0,0.964154275,1,0.0,1,1,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q1__T_transition__replicate_02/attempt_001/checkpoint_001_snapshot.json,0.002886002886002886,0.0,0.0,0.0,0
C00__Y8__V0_Q1__T_transition__r02__attempt_001,C00,Y8,V0_Q1,T_transition,2,scan,2,0,1.920788978,2,1.0,2,2,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q1__T_transition__replicate_02/attempt_001/checkpoint_002_snapshot.json,0.005772005772005772,0.0,0.0,0.0,0
C00__Y8__V0_Q1__T_transition__r02__attempt_001,C00,Y8,V0_Q1,T_transition,2,scan,3,0,3.032473236,3,0.9999999999999998,3,3,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q1__T_transition__replicate_02/attempt_001/checkpoint_003_snapshot.json,0.008658008658008658,0.0,0.0,0.0,0
C00__Y8__V0_Q1__T_transition__r02__attempt_001,C00,Y8,V0_Q1,T_transition,2,query,4,1,20.115711437,2,1.0,2,3,1,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q1__T_transition__replicate_02/attempt_001/checkpoint_004_snapshot.json,0.008658008658008658,1.0,0.07142857142857142,0.13333333333333333,1
C00__Y8__V0_Q2__T_high__r00__attempt_001,C00,Y8,V0_Q2,T_high,0,initial_commit,0,0,0.025157449,0,0.0,0,0,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_high__replicate_00/attempt_001/checkpoint_000_snapshot.json,0.0,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_high__r00__attempt_001,C00,Y8,V0_Q2,T_high,0,scan,1,0,0.987524942,1,0.0,1,1,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_high__replicate_00/attempt_001/checkpoint_001_snapshot.json,0.002886002886002886,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_high__r00__attempt_001,C00,Y8,V0_Q2,T_high,0,scan,2,0,1.914940701,1,0.0,1,2,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_high__replicate_00/attempt_001/checkpoint_002_snapshot.json,0.005772005772005772,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_high__r00__attempt_001,C00,Y8,V0_Q2,T_high,0,scan,3,0,2.795910329,2,1.0,2,3,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_high__replicate_00/attempt_001/checkpoint_003_snapshot.json,0.008658008658008658,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_high__r00__attempt_001,C00,Y8,V0_Q2,T_high,0,query,4,1,19.693328997,1,0.0,1,3,1,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_high__replicate_00/attempt_001/checkpoint_004_snapshot.json,0.008658008658008658,1.0,0.043478260869565216,0.08333333333333333,1
C00__Y8__V0_Q2__T_high__r01__attempt_001,C00,Y8,V0_Q2,T_high,1,initial_commit,0,0,0.02566687,0,0.0,0,0,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_high__replicate_01/attempt_001/checkpoint_000_snapshot.json,0.0,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_high__r01__attempt_001,C00,Y8,V0_Q2,T_high,1,scan,1,0,0.920671954,1,0.0,1,1,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_high__replicate_01/attempt_001/checkpoint_001_snapshot.json,0.002886002886002886,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_high__r01__attempt_001,C00,Y8,V0_Q2,T_high,1,scan,2,0,1.837833787,1,0.0,1,2,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_high__replicate_01/attempt_001/checkpoint_002_snapshot.json,0.005772005772005772,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_high__r01__attempt_001,C00,Y8,V0_Q2,T_high,1,scan,3,0,2.729601681,2,1.0,2,3,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_high__replicate_01/attempt_001/checkpoint_003_snapshot.json,0.008658008658008658,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_high__r01__attempt_001,C00,Y8,V0_Q2,T_high,1,query,4,1,19.732998249,1,0.0,1,3,1,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_high__replicate_01/attempt_001/checkpoint_004_snapshot.json,0.008658008658008658,1.0,0.043478260869565216,0.08333333333333333,1
C00__Y8__V0_Q2__T_high__r02__attempt_001,C00,Y8,V0_Q2,T_high,2,initial_commit,0,0,0.024498511,0,0.0,0,0,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_high__replicate_02/attempt_001/checkpoint_000_snapshot.json,0.0,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_high__r02__attempt_001,C00,Y8,V0_Q2,T_high,2,scan,1,0,0.914822402,1,0.0,1,1,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_high__replicate_02/attempt_001/checkpoint_001_snapshot.json,0.002886002886002886,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_high__r02__attempt_001,C00,Y8,V0_Q2,T_high,2,scan,2,0,1.796431766,1,0.0,1,2,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_high__replicate_02/attempt_001/checkpoint_002_snapshot.json,0.005772005772005772,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_high__r02__attempt_001,C00,Y8,V0_Q2,T_high,2,scan,3,0,2.721685537,2,1.0,2,3,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_high__replicate_02/attempt_001/checkpoint_003_snapshot.json,0.008658008658008658,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_high__r02__attempt_001,C00,Y8,V0_Q2,T_high,2,query,4,1,19.667979476,1,0.0,1,3,1,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_high__replicate_02/attempt_001/checkpoint_004_snapshot.json,0.008658008658008658,1.0,0.043478260869565216,0.08333333333333333,1
C00__Y8__V0_Q2__T_transition__r00__attempt_001,C00,Y8,V0_Q2,T_transition,0,initial_commit,0,0,0.024124349,0,0.0,0,0,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_transition__replicate_00/attempt_001/checkpoint_000_snapshot.json,0.0,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_transition__r00__attempt_001,C00,Y8,V0_Q2,T_transition,0,scan,1,0,0.872567262,1,0.0,1,1,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_transition__replicate_00/attempt_001/checkpoint_001_snapshot.json,0.002886002886002886,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_transition__r00__attempt_001,C00,Y8,V0_Q2,T_transition,0,scan,2,0,1.707774511,1,0.0,1,2,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_transition__replicate_00/attempt_001/checkpoint_002_snapshot.json,0.005772005772005772,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_transition__r00__attempt_001,C00,Y8,V0_Q2,T_transition,0,scan,3,0,2.560563141,2,1.0,2,3,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_transition__replicate_00/attempt_001/checkpoint_003_snapshot.json,0.008658008658008658,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_transition__r00__attempt_001,C00,Y8,V0_Q2,T_transition,0,query,4,1,19.107453374,1,0.0,1,3,1,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_transition__replicate_00/attempt_001/checkpoint_004_snapshot.json,0.008658008658008658,1.0,0.043478260869565216,0.08333333333333333,1
C00__Y8__V0_Q2__T_transition__r01__attempt_001,C00,Y8,V0_Q2,T_transition,1,initial_commit,0,0,0.025643826,0,0.0,0,0,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_transition__replicate_01/attempt_001/checkpoint_000_snapshot.json,0.0,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_transition__r01__attempt_001,C00,Y8,V0_Q2,T_transition,1,scan,1,0,0.985035303,1,0.0,1,1,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_transition__replicate_01/attempt_001/checkpoint_001_snapshot.json,0.002886002886002886,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_transition__r01__attempt_001,C00,Y8,V0_Q2,T_transition,1,scan,2,0,1.903805192,1,0.0,1,2,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_transition__replicate_01/attempt_001/checkpoint_002_snapshot.json,0.005772005772005772,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_transition__r01__attempt_001,C00,Y8,V0_Q2,T_transition,1,scan,3,0,2.914663516,2,1.0,2,3,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_transition__replicate_01/attempt_001/checkpoint_003_snapshot.json,0.008658008658008658,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_transition__r01__attempt_001,C00,Y8,V0_Q2,T_transition,1,query,4,1,19.769225856,1,0.0,1,3,1,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_transition__replicate_01/attempt_001/checkpoint_004_snapshot.json,0.008658008658008658,1.0,0.043478260869565216,0.08333333333333333,1
C00__Y8__V0_Q2__T_transition__r02__attempt_001,C00,Y8,V0_Q2,T_transition,2,initial_commit,0,0,0.024608425,0,0.0,0,0,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_transition__replicate_02/attempt_001/checkpoint_000_snapshot.json,0.0,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_transition__r02__attempt_001,C00,Y8,V0_Q2,T_transition,2,scan,1,0,1.017094071,1,0.0,1,1,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_transition__replicate_02/attempt_001/checkpoint_001_snapshot.json,0.002886002886002886,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_transition__r02__attempt_001,C00,Y8,V0_Q2,T_transition,2,scan,2,0,1.84687536,1,0.0,1,2,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_transition__replicate_02/attempt_001/checkpoint_002_snapshot.json,0.005772005772005772,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_transition__r02__attempt_001,C00,Y8,V0_Q2,T_transition,2,scan,3,0,2.696751709,2,1.0,2,3,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_transition__replicate_02/attempt_001/checkpoint_003_snapshot.json,0.008658008658008658,0.0,0.0,0.0,0
C00__Y8__V0_Q2__T_transition__r02__attempt_001,C00,Y8,V0_Q2,T_transition,2,query,4,1,19.567561028,1,0.0,1,3,1,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V0_Q2__T_transition__replicate_02/attempt_001/checkpoint_004_snapshot.json,0.008658008658008658,1.0,0.043478260869565216,0.08333333333333333,1
C00__Y8__V1_Q1__T_high__r00__attempt_001,C00,Y8,V1_Q1,T_high,0,initial_commit,0,0,0.05314879,0,0.0,0,0,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V1_Q1__T_high__replicate_00/attempt_001/checkpoint_000_snapshot.json,0.0,0.0,0.0,0.0,0
C00__Y8__V1_Q1__T_high__r00__attempt_001,C00,Y8,V1_Q1,T_high,0,scan,1,0,1.03914738,1,0.0,1,1,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V1_Q1__T_high__replicate_00/attempt_001/checkpoint_001_snapshot.json,0.0017650582711492553,0.0,0.0,0.0,0
C00__Y8__V1_Q1__T_high__r00__attempt_001,C00,Y8,V1_Q1,T_high,0,scan,2,0,2.00181285,2,1.0,2,2,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V1_Q1__T_high__replicate_00/attempt_001/checkpoint_002_snapshot.json,0.0035301165422985106,0.0,0.0,0.0,0
C00__Y8__V1_Q1__T_high__r00__attempt_001,C00,Y8,V1_Q1,T_high,0,scan,3,0,3.151900552,3,0.9999999999999998,3,3,0,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V1_Q1__T_high__replicate_00/attempt_001/checkpoint_003_snapshot.json,0.0052951748134477655,0.0,0.0,0.0,0
C00__Y8__V1_Q1__T_high__r00__attempt_001,C00,Y8,V1_Q1,T_high,0,query,4,0,20.300532405,2,1.0,2,3,1,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V1_Q1__T_high__replicate_00/attempt_001/checkpoint_004_snapshot.json,0.0052951748134477655,0.0,0.0,0.0,0
C00__Y8__V1_Q1__T_high__r00__attempt_001,C00,Y8,V1_Q1,T_high,0,scan,5,0,21.393465768,3,0.9999999999999998,3,4,1,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V1_Q1__T_high__replicate_00/attempt_001/checkpoint_005_snapshot.json,0.007060233084597021,0.0,0.0,0.0,0
C00__Y8__V1_Q1__T_high__r00__attempt_001,C00,Y8,V1_Q1,T_high,0,scan,6,0,22.417956875,4,1.0,4,5,1,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V1_Q1__T_high__replicate_00/attempt_001/checkpoint_006_snapshot.json,0.008825291355746277,0.0,0.0,0.0,0
C00__Y8__V1_Q1__T_high__r00__attempt_001,C00,Y8,V1_Q1,T_high,0,scan,7,0,23.550287238,5,1.0000000000000002,5,6,1,/qiuyeqing/llama_prl/G-ARC/outputs/psvr_bottleneck_research/cycle_02_H_BOTTLE2/raw/C00__Y8__V1_Q1__T_high__replicate_00/attempt_001/checkpoint_007_snapshot.json,0.010590349626895531,0.0,0.0,0.0,0
