mode,width_mode,scenario,rep,world_seed,cluster_count,true_positive_bins,positive_fraction
full,isolated,weak,21,1428987302,18,18,0.009000
full,isolated,weak,22,1967388685,10,10,0.005000
full,isolated,weak,23,1882939015,17,17,0.008500
full,isolated,weak,24,271411422,24,24,0.012000
full,isolated,weak,25,889733471,18,18,0.009000
full,isolated,weak,26,1040183644,17,17,0.008500
full,isolated,weak,27,1498711989,15,15,0.007500
full,isolated,weak,28,1116792333,18,18,0.009000
full,isolated,weak,29,226387979,13,12,0.006000
full,isolated,weak,30,16086220,27,27,0.013500
full,isolated,weak,31,955550929,18,18,0.009000
full,isolated,weak,32,424985695,16,16,0.008000
full,isolated,weak,33,1813825662,13,13,0.006500
full,isolated,weak,34,417160788,15,15,0.007500
full,isolated,weak,35,509107752,21,20,0.010000
full,isolated,weak,36,53082062,20,20,0.010000
full,isolated,weak,37,919374055,16,16,0.008000
full,isolated,weak,38,1269907735,20,20,0.010000
full,isolated,weak,39,955948708,20,20,0.010000
full,isolated,weak,40,574159840,13,13,0.006500
full,isolated,weak,41,382297981,18,18,0.009000
full,isolated,weak,42,1580727866,19,19,0.009500
full,isolated,weak,43,1052347996,21,21,0.010500
full,isolated,weak,44,63332710,21,21,0.010500
full,isolated,weak,45,312291944,16,16,0.008000
full,isolated,weak,46,953814741,17,17,0.008500
full,isolated,weak,47,1135799132,18,18,0.009000
full,isolated,weak,48,888165421,21,21,0.010500
full,isolated,weak,49,349814662,17,17,0.008500
full,isolated,weak,50,1803178440,19,18,0.009000
full,isolated,weak,51,1826017471,20,20,0.010000
full,isolated,weak,52,1684369136,22,22,0.011000
full,isolated,weak,53,1759677485,15,15,0.007500
full,isolated,weak,54,928895171,26,26,0.013000
full,isolated,weak,55,594840560,15,15,0.007500
full,isolated,weak,56,1034129066,16,16,0.008000
full,isolated,weak,57,410075480,19,19,0.009500
full,isolated,weak,58,515806146,19,19,0.009500
full,isolated,weak,59,754223542,16,16,0.008000
full,isolated,weak,60,370292397,15,15,0.007500
full,isolated,weak,61,457858989,19,19,0.009500
full,isolated,weak,62,878727293,20,20,0.010000
full,isolated,weak,63,1418718457,21,21,0.010500
full,isolated,weak,64,1573405707,26,26,0.013000
full,isolated,weak,65,1016066575,18,18,0.009000
full,isolated,weak,66,821070992,13,13,0.006500
full,isolated,weak,67,1307230196,17,17,0.008500
full,isolated,weak,68,929237687,18,18,0.009000
full,isolated,weak,69,99544096,17,17,0.008500
full,isolated,weak,70,961418441,19,19,0.009500
full,isolated,weak,71,66284094,17,17,0.008500
full,isolated,weak,72,131738117,18,18,0.009000
full,isolated,weak,73,1575554438,17,17,0.008500
full,isolated,weak,74,691407157,13,13,0.006500
full,isolated,weak,75,2071962722,21,20,0.010000
full,isolated,weak,76,2138744236,21,21,0.010500
full,isolated,weak,77,6178502,18,18,0.009000
full,isolated,weak,78,1077856805,20,20,0.010000
full,isolated,weak,79,303012065,15,15,0.007500
full,isolated,weak,80,766383823,28,28,0.014000
full,isolated,weak,81,148367281,13,13,0.006500
full,isolated,weak,82,67831743,27,27,0.013500
full,isolated,weak,83,821456682,23,23,0.011500
full,isolated,weak,84,1265673196,24,24,0.012000
full,isolated,weak,85,522606407,20,20,0.010000
full,isolated,weak,86,971095613,8,8,0.004000
full,isolated,weak,87,1111553551,22,22,0.011000
full,isolated,weak,88,1990997212,13,13,0.006500
full,isolated,weak,89,86487469,21,21,0.010500
full,isolated,weak,90,341439125,18,18,0.009000
full,isolated,weak,91,525760388,17,17,0.008500
full,isolated,weak,92,971235800,18,18,0.009000
full,isolated,weak,93,1834744693,26,26,0.013000
full,isolated,weak,94,1663484323,19,19,0.009500
full,isolated,weak,95,1423981054,23,23,0.011500
full,isolated,weak,96,474039272,18,18,0.009000
full,isolated,weak,97,1594571455,19,19,0.009500
full,isolated,weak,98,385817125,16,16,0.008000
full,isolated,weak,99,1596447834,14,14,0.007000
full,isolated,weak,100,364599522,22,22,0.011000
full,isolated,weak,101,700159403,22,22,0.011000
full,isolated,weak,102,1098218607,26,26,0.013000
full,isolated,weak,103,1233182236,18,18,0.009000
full,isolated,weak,104,28474809,21,21,0.010500
full,isolated,weak,105,872344663,16,16,0.008000
full,isolated,weak,106,912188984,19,19,0.009500
full,isolated,weak,107,1599182091,17,17,0.008500
full,isolated,weak,108,904751637,21,21,0.010500
full,isolated,weak,109,704753459,14,14,0.007000
full,isolated,weak,110,1793949276,22,22,0.011000
full,isolated,weak,111,1351696542,16,16,0.008000
full,isolated,weak,112,1712168569,13,13,0.006500
full,isolated,weak,113,774690765,19,19,0.009500
full,isolated,weak,114,633558633,15,15,0.007500
full,isolated,weak,115,1989191144,16,16,0.008000
full,isolated,weak,116,974256831,18,18,0.009000
full,isolated,weak,117,762873620,13,13,0.006500
full,isolated,weak,118,1141463480,20,19,0.009500
full,isolated,weak,119,636699587,12,12,0.006000
full,isolated,wrong,0,1436599069,17,17,0.008500
full,isolated,wrong,1,1923408199,27,27,0.013500
full,isolated,wrong,2,841808719,17,17,0.008500
full,isolated,wrong,3,125273107,17,17,0.008500
full,isolated,wrong,4,1198360633,19,19,0.009500
full,isolated,wrong,5,2116677602,21,20,0.010000
full,isolated,wrong,6,459721456,26,26,0.013000
full,isolated,wrong,7,2125433289,18,18,0.009000
full,isolated,wrong,8,17881278,20,20,0.010000
full,isolated,wrong,9,1187004399,23,23,0.011500
full,isolated,wrong,10,373979750,18,18,0.009000
full,isolated,wrong,11,1213302402,17,17,0.008500
full,isolated,wrong,12,1920891769,21,21,0.010500
full,isolated,wrong,13,10662962,17,17,0.008500
full,isolated,wrong,14,207465778,21,21,0.010500
full,isolated,wrong,15,1590247162,18,18,0.009000
full,isolated,wrong,16,1970416455,14,14,0.007000
full,isolated,wrong,17,1449787744,15,15,0.007500
full,isolated,wrong,18,896820631,18,17,0.008500
full,isolated,wrong,19,1925537204,14,13,0.006500
full,isolated,wrong,20,167662391,18,18,0.009000
full,isolated,wrong,21,1213359823,17,17,0.008500
full,isolated,wrong,22,1608239471,11,11,0.005500
full,isolated,wrong,23,1856824535,26,25,0.012500
full,isolated,wrong,24,1808971432,14,14,0.007000
full,isolated,wrong,25,1782977518,20,20,0.010000
full,isolated,wrong,26,945738322,16,16,0.008000
full,isolated,wrong,27,2074785355,18,18,0.009000
full,isolated,wrong,28,1158178374,15,15,0.007500
full,isolated,wrong,29,595769650,23,23,0.011500
full,isolated,wrong,30,911494300,18,18,0.009000
full,isolated,wrong,31,1241951441,22,22,0.011000
full,isolated,wrong,32,1975352954,24,23,0.011500
full,isolated,wrong,33,1363811840,21,21,0.010500
full,isolated,wrong,34,1429932731,25,25,0.012500
full,isolated,wrong,35,1076179993,26,25,0.012500
full,isolated,wrong,36,1414259669,26,26,0.013000
full,isolated,wrong,37,1152360183,15,15,0.007500
full,isolated,wrong,38,2000882771,17,17,0.008500
full,isolated,wrong,39,957972364,16,16,0.008000
full,isolated,wrong,40,522845134,13,13,0.006500
full,isolated,wrong,41,54357830,10,10,0.005000
full,isolated,wrong,42,1384482003,19,19,0.009500
full,isolated,wrong,43,526250490,22,21,0.010500
full,isolated,wrong,44,9508710,14,14,0.007000
full,isolated,wrong,45,2003270769,14,14,0.007000
full,isolated,wrong,46,739362993,16,15,0.007500
full,isolated,wrong,47,410095175,16,16,0.008000
full,isolated,wrong,48,1780620278,17,17,0.008500
full,isolated,wrong,49,619276916,21,21,0.010500
full,isolated,wrong,50,896950774,16,16,0.008000
full,isolated,wrong,51,2072354759,18,18,0.009000
full,isolated,wrong,52,312920552,15,15,0.007500
full,isolated,wrong,53,1291310503,17,17,0.008500
full,isolated,wrong,54,2139313729,17,17,0.008500
full,isolated,wrong,55,744868280,17,17,0.008500
full,isolated,wrong,56,1832135037,17,17,0.008500
full,isolated,wrong,57,1888049003,20,20,0.010000
full,isolated,wrong,58,255353183,17,16,0.008000
full,isolated,wrong,59,1619059644,23,23,0.011500
full,isolated,wrong,60,408941556,17,17,0.008500
full,isolated,wrong,61,1789432350,21,21,0.010500
full,isolated,wrong,62,1273530496,17,17,0.008500
full,isolated,wrong,63,1641603233,15,15,0.007500
full,isolated,wrong,64,1506527680,15,15,0.007500
full,isolated,wrong,65,1468963108,18,17,0.008500
full,isolated,wrong,66,1566724696,20,20,0.010000
full,isolated,wrong,67,131863468,18,18,0.009000
full,isolated,wrong,68,1315871111,22,22,0.011000
full,isolated,wrong,69,1082251431,15,15,0.007500
full,isolated,wrong,70,890359099,15,15,0.007500
full,isolated,wrong,71,2146253046,20,20,0.010000
full,isolated,wrong,72,1372534766,24,24,0.012000
full,isolated,wrong,73,1258355405,10,10,0.005000
full,isolated,wrong,74,944994397,16,16,0.008000
full,isolated,wrong,75,379721737,17,17,0.008500
full,isolated,wrong,76,2137675798,19,19,0.009500
full,isolated,wrong,77,329799590,22,22,0.011000
full,isolated,wrong,78,1932876489,9,9,0.004500
full,isolated,wrong,79,2136527297,17,17,0.008500
full,isolated,wrong,80,408672650,21,21,0.010500
full,isolated,wrong,81,1684390899,16,16,0.008000
full,isolated,wrong,82,1422768772,18,18,0.009000
full,isolated,wrong,83,1743612145,18,18,0.009000
full,isolated,wrong,84,1598287531,21,21,0.010500
full,isolated,wrong,85,2056209295,16,16,0.008000
full,isolated,wrong,86,1263489501,17,17,0.008500
full,isolated,wrong,87,1549654045,18,18,0.009000
full,isolated,wrong,88,1998861889,19,18,0.009000
full,isolated,wrong,89,150558783,16,16,0.008000
full,isolated,wrong,90,109717628,20,20,0.010000
full,isolated,wrong,91,535414247,21,21,0.010500
full,isolated,wrong,92,457088175,18,18,0.009000
full,isolated,wrong,93,1213560674,20,20,0.010000
full,isolated,wrong,94,265007227,17,17,0.008500
full,isolated,wrong,95,1779268025,21,21,0.010500
full,isolated,wrong,96,1161265951,14,14,0.007000
full,isolated,wrong,97,739900215,18,18,0.009000
full,isolated,wrong,98,1707312709,18,18,0.009000
full,isolated,wrong,99,780759521,14,14,0.007000
full,isolated,wrong,100,1205237501,22,21,0.010500
full,isolated,wrong,101,83842586,14,14,0.007000
full,isolated,wrong,102,1176236440,13,13,0.006500
full,isolated,wrong,103,1955809327,14,14,0.007000
full,isolated,wrong,104,448228938,16,16,0.008000
full,isolated,wrong,105,1676282388,16,16,0.008000
full,isolated,wrong,106,1944613758,15,15,0.007500
full,isolated,wrong,107,1887346173,24,24,0.012000
full,isolated,wrong,108,265123847,20,20,0.010000
full,isolated,wrong,109,400091123,15,15,0.007500
full,isolated,wrong,110,276519606,20,20,0.010000
full,isolated,wrong,111,682424047,14,14,0.007000
full,isolated,wrong,112,1614222832,18,18,0.009000
full,isolated,wrong,113,1702491516,20,20,0.010000
full,isolated,wrong,114,727160386,19,19,0.009500
full,isolated,wrong,115,1714393495,15,15,0.007500
full,isolated,wrong,116,700995944,19,19,0.009500
full,isolated,wrong,117,537458870,14,14,0.007000
full,isolated,wrong,118,1255623796,15,15,0.007500
full,isolated,wrong,119,1487005670,14,14,0.007000
full,isolated,none,0,87203323,24,23,0.011500
full,isolated,none,1,2055659943,14,14,0.007000
full,isolated,none,2,41947867,23,23,0.011500
full,isolated,none,3,1457004152,9,9,0.004500
full,isolated,none,4,74276874,17,17,0.008500
full,isolated,none,5,1757358971,20,20,0.010000
full,isolated,none,6,530319484,12,12,0.006000
full,isolated,none,7,579679956,19,19,0.009500
full,isolated,none,8,1725697552,21,21,0.010500
full,isolated,none,9,240856387,20,20,0.010000
full,isolated,none,10,653885370,16,16,0.008000
full,isolated,none,11,1400733794,20,20,0.010000
full,isolated,none,12,1232896154,17,17,0.008500
full,isolated,none,13,1662040972,16,16,0.008000
full,isolated,none,14,1034965008,16,16,0.008000
full,isolated,none,15,36866234,13,13,0.006500
full,isolated,none,16,1432942913,17,17,0.008500
full,isolated,none,17,1003291236,26,26,0.013000
full,isolated,none,18,431707298,19,19,0.009500
full,isolated,none,19,925557868,19,19,0.009500
full,isolated,none,20,790184511,14,14,0.007000
full,isolated,none,21,210872713,12,12,0.006000
full,isolated,none,22,1525906826,17,17,0.008500
full,isolated,none,23,1385235050,18,18,0.009000
full,isolated,none,24,1345525994,22,22,0.011000
full,isolated,none,25,138351891,19,19,0.009500
full,isolated,none,26,1367185363,23,23,0.011500
full,isolated,none,27,952111994,19,19,0.009500
full,isolated,none,28,1965901078,13,13,0.006500
full,isolated,none,29,705401864,17,17,0.008500
full,isolated,none,30,220454877,15,14,0.007000
full,isolated,none,31,1444114791,10,10,0.005000
full,isolated,none,32,762836194,19,19,0.009500
full,isolated,none,33,332295883,17,17,0.008500
full,isolated,none,34,84534619,14,14,0.007000
full,isolated,none,35,254367282,15,15,0.007500
full,isolated,none,36,286042556,22,21,0.010500
full,isolated,none,37,1610308375,23,23,0.011500
full,isolated,none,38,203495875,19,19,0.009500
full,isolated,none,39,772653594,15,15,0.007500
full,isolated,none,40,1504068890,20,20,0.010000
full,isolated,none,41,1809732693,15,15,0.007500
full,isolated,none,42,1166050893,16,16,0.008000
full,isolated,none,43,1328336161,22,22,0.011000
full,isolated,none,44,660859580,17,17,0.008500
full,isolated,none,45,1948587618,20,20,0.010000
full,isolated,none,46,1383820117,16,16,0.008000
full,isolated,none,47,642049478,16,16,0.008000
full,isolated,none,48,1956403552,13,13,0.006500
full,isolated,none,49,1012325534,19,19,0.009500
full,isolated,none,50,2009456555,15,15,0.007500
full,isolated,none,51,246010657,18,17,0.008500
full,isolated,none,52,1494558300,14,14,0.007000
full,isolated,none,53,1372843477,14,14,0.007000
full,isolated,none,54,680956876,14,14,0.007000
full,isolated,none,55,362662592,13,13,0.006500
full,isolated,none,56,9715097,18,18,0.009000
full,isolated,none,57,2009122737,23,23,0.011500
full,isolated,none,58,1139337283,19,19,0.009500
full,isolated,none,59,1304933060,22,22,0.011000
full,isolated,none,60,956266257,19,19,0.009500
full,isolated,none,61,1195302644,12,12,0.006000
full,isolated,none,62,2045507774,15,15,0.007500
full,isolated,none,63,347534510,21,21,0.010500
full,isolated,none,64,1736008838,14,14,0.007000
full,isolated,none,65,540385809,27,27,0.013500
full,isolated,none,66,62087684,21,19,0.009500
full,isolated,none,67,958875073,28,28,0.014000
full,isolated,none,68,58700325,16,16,0.008000
full,isolated,none,69,2123977027,23,23,0.011500
full,isolated,none,70,276316106,10,10,0.005000
full,isolated,none,71,1136410500,12,12,0.006000
full,isolated,none,72,660663566,16,16,0.008000
full,isolated,none,73,189729668,15,15,0.007500
full,isolated,none,74,1621648062,15,15,0.007500
full,isolated,none,75,1254471362,17,17,0.008500
full,isolated,none,76,1383939764,17,17,0.008500
full,isolated,none,77,932332572,19,19,0.009500
full,isolated,none,78,2061507154,15,15,0.007500
full,isolated,none,79,306093340,13,13,0.006500
full,isolated,none,80,564409118,27,27,0.013500
full,isolated,none,81,394915359,12,11,0.005500
full,isolated,none,82,1436326298,21,21,0.010500
full,isolated,none,83,817716042,15,15,0.007500
full,isolated,none,84,358389248,21,21,0.010500
full,isolated,none,85,1422957317,16,16,0.008000
full,isolated,none,86,526350833,12,12,0.006000
full,isolated,none,87,1487386963,17,17,0.008500
full,isolated,none,88,1015114529,16,16,0.008000
full,isolated,none,89,664163451,13,13,0.006500
full,isolated,none,90,1233399178,13,13,0.006500
full,isolated,none,91,1132962032,14,14,0.007000
full,isolated,none,92,79541027,17,17,0.008500
full,isolated,none,93,561426177,21,21,0.010500
full,isolated,none,94,812683987,16,16,0.008000
full,isolated,none,95,1846452674,17,16,0.008000
full,isolated,none,96,1202445957,18,18,0.009000
full,isolated,none,97,391857569,19,19,0.009500
full,isolated,none,98,1409582186,11,11,0.005500
full,isolated,none,99,1084799446,22,22,0.011000
full,isolated,none,100,1207992006,18,17,0.008500
full,isolated,none,101,1805745540,15,15,0.007500
full,isolated,none,102,614540053,19,19,0.009500
full,isolated,none,103,1551114214,14,14,0.007000
full,isolated,none,104,283559477,17,17,0.008500
full,isolated,none,105,1822308034,14,14,0.007000
full,isolated,none,106,784364968,19,19,0.009500
full,isolated,none,107,1857883162,12,12,0.006000
full,isolated,none,108,1576644883,20,20,0.010000
full,isolated,none,109,688280025,16,15,0.007500
full,isolated,none,110,2100288927,15,15,0.007500
full,isolated,none,111,354075401,17,17,0.008500
full,isolated,none,112,2111322200,16,16,0.008000
full,isolated,none,113,860480844,16,16,0.008000
full,isolated,none,114,820201224,19,18,0.009000
full,isolated,none,115,588735244,14,14,0.007000
full,isolated,none,116,1890484530,16,16,0.008000
full,isolated,none,117,1864139744,13,13,0.006500
full,isolated,none,118,554823374,19,19,0.009500
full,isolated,none,119,989017771,18,18,0.009000
full,narrow,strong,0,584676339,20,99,0.049500
full,narrow,strong,1,856121191,22,102,0.051000
full,narrow,strong,2,2113930182,14,74,0.037000
full,narrow,strong,3,85526685,17,75,0.037500
full,narrow,strong,4,679354282,23,117,0.058500
full,narrow,strong,5,1230592371,19,89,0.044500
full,narrow,strong,6,1045503587,22,108,0.054000
full,narrow,strong,7,1207531293,16,72,0.036000
full,narrow,strong,8,1911681004,20,84,0.042000
full,narrow,strong,9,919712852,18,76,0.038000
full,narrow,strong,10,2078929779,16,79,0.039500
full,narrow,strong,11,1437217059,13,65,0.032500
full,narrow,strong,12,886605502,22,119,0.059500
full,narrow,strong,13,1493635483,16,78,0.039000
full,narrow,strong,14,779200830,22,100,0.050000
full,narrow,strong,15,1794808524,16,76,0.038000
full,narrow,strong,16,678808281,10,46,0.023000
full,narrow,strong,17,288651041,14,65,0.032500
full,narrow,strong,18,278204188,18,90,0.045000
full,narrow,strong,19,10170972,10,54,0.027000
full,narrow,strong,20,71429248,12,51,0.025500
full,narrow,strong,21,583342471,19,102,0.051000
full,narrow,strong,22,1751981183,21,99,0.049500
full,narrow,strong,23,163312773,22,114,0.057000
full,narrow,strong,24,716534458,17,85,0.042500
full,narrow,strong,25,883068686,12,58,0.029000
full,narrow,strong,26,1684663207,13,59,0.029500
full,narrow,strong,27,351650572,20,105,0.052500
full,narrow,strong,28,1242962019,13,68,0.034000
full,narrow,strong,29,703925126,21,105,0.052500
full,narrow,strong,30,1771084977,14,78,0.039000
full,narrow,strong,31,513230484,10,49,0.024500
full,narrow,strong,32,1691487957,17,77,0.038500
full,narrow,strong,33,121349958,15,76,0.038000
full,narrow,strong,34,374438834,16,79,0.039500
full,narrow,strong,35,428527418,16,77,0.038500
full,narrow,strong,36,157951785,16,76,0.038000
full,narrow,strong,37,1609009075,21,115,0.057500
full,narrow,strong,38,1287692189,16,81,0.040500
full,narrow,strong,39,1106240519,17,86,0.043000
full,narrow,strong,40,556126450,16,87,0.043500
full,narrow,strong,41,1510418263,13,58,0.029000
full,narrow,strong,42,1992019673,22,113,0.056500
full,narrow,strong,43,2013771023,18,74,0.037000
full,narrow,strong,44,871500906,20,101,0.050500
full,narrow,strong,45,1692259724,26,119,0.059500
full,narrow,strong,46,1027521185,15,77,0.038500
full,narrow,strong,47,1423711567,18,90,0.045000
full,narrow,strong,48,945690142,23,115,0.057500
full,narrow,strong,49,1552229356,12,61,0.030500
full,narrow,strong,50,801917132,21,97,0.048500
full,narrow,strong,51,937275993,22,114,0.057000
full,narrow,strong,52,129892729,20,91,0.045500
full,narrow,strong,53,42172153,17,74,0.037000
full,narrow,strong,54,1561095543,24,120,0.060000
full,narrow,strong,55,1676539686,23,97,0.048500
full,narrow,strong,56,1904311421,15,76,0.038000
full,narrow,strong,57,266181276,24,106,0.053000
full,narrow,strong,58,334014618,19,96,0.048000
full,narrow,strong,59,1735572943,15,69,0.034500
full,narrow,strong,60,550513964,12,63,0.031500
full,narrow,strong,61,1147207244,17,82,0.041000
full,narrow,strong,62,613517804,13,58,0.029000
full,narrow,strong,63,711360494,19,92,0.046000
full,narrow,strong,64,2085796078,20,97,0.048500
full,narrow,strong,65,1055004170,16,79,0.039500
full,narrow,strong,66,967949487,21,97,0.048500
full,narrow,strong,67,961097022,31,151,0.075500
full,narrow,strong,68,726969893,14,74,0.037000
full,narrow,strong,69,179056628,15,77,0.038500
full,narrow,strong,70,168736773,22,101,0.050500
full,narrow,strong,71,105750605,22,112,0.056000
full,narrow,strong,72,559835431,22,113,0.056500
full,narrow,strong,73,557447711,15,75,0.037500
full,narrow,strong,74,1613416276,13,71,0.035500
full,narrow,strong,75,1779340043,25,120,0.060000
full,narrow,strong,76,987949503,14,68,0.034000
full,narrow,strong,77,2041548276,24,113,0.056500
full,narrow,strong,78,447029398,13,72,0.036000
full,narrow,strong,79,641146445,14,69,0.034500
full,narrow,strong,80,1005772387,16,89,0.044500
full,narrow,strong,81,2072794108,10,50,0.025000
full,narrow,strong,82,682633291,10,55,0.027500
full,narrow,strong,83,647472074,23,114,0.057000
full,narrow,strong,84,436243855,20,92,0.046000
full,narrow,strong,85,1442043698,22,109,0.054500
full,narrow,strong,86,517417313,13,68,0.034000
